video_id,title,publishedAt,duration,hours,minutes,seconds,total_seconds
udmf5MQLNGA,How Much Money Did Gangnam Style Earn??? 2016,2014-11-26T22:53:11Z,PT2M24S,0,2,24,144
0dg2eR2NSQ0,Best League Player In The Universe.,2014-11-23T17:37:28Z,PT3M,0,3,0,180
6BNOWeYFyP8,MageCraft - Beginners tutorial. (The app),2014-11-17T02:25:46Z,PT8M47S,0,8,47,527
LDegY-H60_U,How much money does VanossGaming Make? 2016,2014-11-02T16:06:08Z,PT3M20S,0,3,20,200
D51HaR-XvgM,Opening Old Basketball Cards! Ep. #1 (Michael Jordan Found),2014-10-21T02:19:05Z,PT4M27S,0,4,27,267
Rio7r_vLUEo,20 Best Websites?????,2014-08-29T22:45:20Z,PT6M44S,0,6,44,404
8E5Ygl02wtM,"How Much Money Does ""Chris Smooth"" Make?????",2014-08-21T22:46:35Z,PT4M2S,0,4,2,242
moMJjt5KECc,Money Problems,2014-08-20T17:40:18Z,PT4M2S,0,4,2,242
OffgqPzDi7Q,Vanoss vs Speedy! Who is better? Updated.,2014-08-20T01:57:30Z,PT3M45S,0,3,45,225
B_7uD3B62MM,Welcome To My Channel!,2014-08-18T00:01:52Z,PT28S,0,0,28,28
bA20RJcegOI,1500,2014-08-08T18:58:18Z,PT2M23S,0,2,23,143
NbHwVDt9Rjk,How Much Money Does Yogscast Make????? 2016,2014-07-13T18:37:22Z,PT3M46S,0,3,46,226
VzsE09KjpKA,How Much Does WhiteBoy7thSt Make????? 2016,2014-07-11T21:52:50Z,PT3M27S,0,3,27,207
HduubRTdko4,"How Much Does ""Epic Rap Battles"" Make?????",2014-07-10T23:05:51Z,PT3M20S,0,3,20,200
qFOGv5zuTdw,How Much Money Does FaZe Make?????,2014-07-09T21:15:15Z,PT3M18S,0,3,18,198
u6t4jrhs56Q,"Top Youtube ""ShoutOuts""",2014-07-09T00:07:05Z,PT6M5S,0,6,5,365
460GXJiGCEs,Youtube Dream,2014-07-08T00:17:34Z,PT4M31S,0,4,31,271
ZiuoOcj2eLY,In Dis Video I Play Minecraft. (Factions),2014-07-05T15:57:13Z,PT8M49S,0,8,49,529
LYK6SPMtJ_Y,Youtube Grind,2014-06-28T21:06:46Z,PT3M20S,0,3,20,200
2ljWxaMvE_0,Hacker in Ghost???? I Couldn't Kill Him.,2014-06-22T00:27:19Z,PT36S,0,0,36,36
rSuuQ_s8gOw,How Much Money Does Tmartn Make?????,2014-06-21T18:43:51Z,PT2M37S,0,2,37,157
vKKhX-Uyggw,How Much Money Does FaZe Rain Make?????,2014-06-18T14:00:09Z,PT3M35S,0,3,35,215
EAwXH82m-6A,G2g Brb,2014-06-16T14:00:07Z,PT3M,0,3,0,180
U_07AG_CR5A,Crazy Nub Tub Reactions! Bo2 Fun!,2014-06-13T22:44:22Z,PT3M40S,0,3,40,220
Xe0AGtF5aNU,Fun In COD. - Insane Reactions Lol,2014-06-10T19:01:43Z,PT3M49S,0,3,49,229
NCv0drAPm_M,Minecraft Build-off Fun!!!!!,2014-06-09T12:00:07Z,PT3M33S,0,3,33,213
HuLAAXZXIy0,This Kid Should Quit COD....,2014-06-02T21:37:07Z,PT1M17S,0,1,17,77
pV7UcYW1OwA,Computer vs Console My Perspective.,2014-06-02T18:08:34Z,PT3M26S,0,3,26,206
x4IXCimma-s,5 Youtubers I Think Will Be Famous...,2014-05-31T21:06:55Z,PT4M24S,0,4,24,264
anZbhN0Wh_4,How Much Does PewDiePie Make????? 2016,2014-05-24T19:33:12Z,PT3M26S,0,3,26,206
3Q3pQmzWyZM,I Got Really Really Really Bored....,2014-05-24T16:37:13Z,PT52S,0,0,52,52
BqS4iVHa-LU,How Much Money Does Penguinz0 Make????? 2016,2014-05-16T23:53:55Z,PT2M55S,0,2,55,175
zX04jQFKCpo,How Much Money Does CaptainSparkles Make????? 2016,2014-05-15T20:36:54Z,PT3M3S,0,3,3,183
G7Y9ban7b0U,How Much Money Does Tobuscus Make?????,2014-05-14T23:06:58Z,PT2M22S,0,2,22,142
EMVvA5Cr0fY,COD IS NOT DEAD,2014-05-08T02:19:42Z,PT3M22S,0,3,22,202
e14MroQ5k_s,Storm,2014-04-30T20:31:15Z,PT3M1S,0,3,1,181
CuzdxsOXEZ8,Hearthstone - All Beards Challenge!,2014-04-24T01:56:43Z,PT23M53S,0,23,53,1433
67Wj-0OyKOM,Youtube ad.,2014-04-20T20:26:16Z,PT38S,0,0,38,38
LWstCINhd8g,Impossible,2014-04-20T01:45:45Z,PT3M53S,0,3,53,233
dg6iqLCPizs,Motivation,2014-04-17T01:22:40Z,PT2M54S,0,2,54,174
cRPldarzw-M,1k Subs,2014-04-13T23:53:33Z,PT3M15S,0,3,15,195
-rdYtmUejSE,Yup I is the best at the game.,2014-04-05T13:00:05Z,PT6M57S,0,6,57,417
tusuuI7MEJU,Should I join FaZe?????,2014-04-04T19:44:52Z,PT3M30S,0,3,30,210
XDe5f8BEvwY,"Youtube Networks Requirerments. (Machinima, TGN, 8byte....)",2014-04-01T16:37:55Z,PT4M46S,0,4,46,286
BtCGABBPH9s,Two Years of Youtube.,2014-03-31T16:31:32Z,PT4M31S,0,4,31,271
KJ_C_NSl0P8,"How Much Money Does ""Element Animation"" Make?????",2014-03-30T23:40:18Z,PT3M29S,0,3,29,209
LI8nWXeYtOs,"How Much Money Does ""Skydoesminecraft"" Make????",2014-03-30T01:52:06Z,PT2M47S,0,2,47,167
LMe7k8I082w,Should College Athletes Be Paid?????,2014-03-29T00:18:35Z,PT4M36S,0,4,36,276
h77pHTSPSiw,"""Beast"" Channel Trailer",2014-03-28T21:01:57Z,PT2M1S,0,2,1,121
JUiijjJOInw,What It Takes To Be A Full Time Youtuber...,2014-03-27T19:00:05Z,PT4M41S,0,4,41,281
gpbY6zCEBv4,How Video Games Boosted My SAT Score. Lol,2014-03-26T23:59:45Z,PT2M57S,0,2,57,177
Kgu2ApayYvI,How Much Money Do I Make?????,2014-03-16T01:24:25Z,PT4M10S,0,4,10,250
S9PIukDRcvk,Update,2014-03-13T00:19:29Z,PT4M21S,0,4,21,261
lrw3zkGS9Vc,Subscribers.,2014-03-08T03:52:13Z,PT3M,0,3,0,180
IQYW_lVBYGo,How Much Money Does KyR's Speedy's Crew Make?????,2014-03-02T18:14:47Z,PT2M54S,0,2,54,174
iOjxpow6jow,How Many Youtubers Are Millionaries?????,2014-02-26T23:52:57Z,PT4M4S,0,4,4,244
GdD2pqAdjXY,"Flappy Bird - Builders Showdown, Which is Better?",2014-02-23T22:29:21Z,PT1M25S,0,1,25,85
nmHCmLVLxcU,New COD Zombies In 2014?????,2014-02-23T21:40:04Z,PT2M31S,0,2,31,151
TZPlDuYrcDQ,Minecraft Mansion Timelapse,2014-02-22T23:51:15Z,PT5M2S,0,5,2,302
Oub4nMrNTqQ,Top 5 NON-COPYRIGHTED Songs!!!!!,2014-02-17T20:30:02Z,PT3M24S,0,3,24,204
h5Z36IuyrKc,Vanoss vs Speedy! Which is better?,2014-02-16T20:13:22Z,PT3M7S,0,3,7,187
2IGxSOfsBok,I Hate Pewdiepie!!!!!,2014-02-01T00:16:57Z,PT2M6S,0,2,6,126
ZxkLCq49Tvk,Does Spam Work?????,2014-01-20T23:41:17Z,PT4M15S,0,4,15,255
smDPnIdlkhM,100th VIDEO SPECIAL!,2014-01-20T01:17:01Z,PT4M44S,0,4,44,284
DjMYkWCEan8,The Vortex SMP Episode 1! Just Derping Around and Explaining Things.,2014-01-18T02:49:24Z,PT25M19S,0,25,19,1519
