video_id,title,publishedAt,duration,viewCount,likeCount,commentCount
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04T16:00:07Z,PT3M14S,28131011,2572606,87001
686PL7rt654,World’s Fastest Dinner Date,2025-10-03T16:00:03Z,PT34S,119076926,2173953,6289
zo7i8VTpfNM,"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,PT25M26S,73146141,1861556,26622
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,PT42S,59392623,1860964,6291
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,PT40S,192871209,4372991,14981
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,PT47S,95840746,2424664,7487
50G0kIty7Cg,"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,PT39S,150284019,4040400,10668
4l97aNza_Zc,"Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13T16:00:01Z,PT37M4S,133154207,3166832,50146
3ih2bPKSWsQ,I Arrested IShowSpeed,2025-09-12T17:00:01Z,PT35S,52897497,1779724,5233
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01T20:45:41Z,PT47S,316794365,6589237,8111
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30T16:00:11Z,PT17M18S,111260620,2546238,34172
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,PT18S,543826033,22308891,27366
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,PT36S,90743873,2115178,6884
rB9NynBZ4go,Reaction Time Challenge,2025-08-19T16:00:02Z,PT29S,101038812,1691082,10969
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,PT39M36S,115943008,2829833,39649
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,PT15S,74641173,1927722,12008
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,PT17S,60246063,2189698,10159
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,PT32S,61569274,1113581,5372
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02T16:00:02Z,PT32S,114211583,3557816,14687
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,PT10M20S,74697221,2296372,43361
zxuICI0kL3s,"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,PT31S,293550807,5729958,7566
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29T16:00:01Z,PT19S,83286786,2581449,10021
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25T16:00:02Z,PT1M7S,172178687,4760345,13404
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,PT24S,122751819,1998332,6181
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19T16:00:01Z,PT33M3S,132068807,3377853,45875
R7oW0LwS_e4,I Met Neymar,2025-07-11T16:15:07Z,PT10S,93926815,1622723,14694
BfKI_TQnQvo,I Raced A Cheetah,2025-07-06T16:00:01Z,PT20S,121351746,2897123,12896
FWAdfuPpLOc,World's Fastest Car Vs Cheetah!,2025-07-05T16:00:01Z,PT20M37S,173052848,3272871,44782
NjlP2_l1Wr0,"You Lose, You Get Shot",2025-06-30T16:00:08Z,PT36S,94257133,1587554,6371
gGcaGdHlt60,"If You Spill, You Lose!",2025-06-25T17:00:08Z,PT19S,369407041,3451324,7166
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",2025-06-21T16:00:01Z,PT36M50S,201633595,6360103,103938
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,PT23S,85462683,2180266,12049
ZGvn9ywXjpY,Feastables vs Reese’s Taste Test with @gordonramsay,2025-06-10T16:00:02Z,PT33S,274291791,5361209,12697
hTSaweR8qMI,"$1 vs $500,000 Date",2025-06-07T16:00:00Z,PT17M22S,142049443,3323851,59586
KCRLP-zBacU,Can I Teach a Penguin To Subscribe?,2025-05-31T16:10:27Z,PT9S,243625533,6215152,17108
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,PT32S,173199730,3277582,6827
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24T16:00:01Z,PT27M53S,153689595,3507795,80689
7qY-qalCI2Y,"Grab The Rolex, Keep It!",2025-05-21T15:59:50Z,PT23S,187875639,2882048,8804
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16T16:00:01Z,PT36S,696197073,7719921,22956
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,2025-05-10T16:00:01Z,PT15M46S,117413962,2897078,77563
0yPgljFcTR4,"Subscribe to Win $50,000",2025-05-07T16:00:01Z,PT15S,71944741,4016926,143671
TN1wErFGTzM,"Find This Key, Win $10,000",2025-05-05T16:00:00Z,PT39S,48751481,1509682,6439
3dxksf0CzS8,World’s Fastest Robbers,2025-05-02T16:00:00Z,PT32S,229609717,5134339,12450
x7yv72s8h0o,Would You Go On Vacation With A Stranger?,2025-04-29T16:00:00Z,PT1M3S,241773772,7611003,22143
uyiG6uw-6pA,"Would You Risk Drowning for $500,000?",2025-04-26T16:00:00Z,PT25M46S,188436040,3141589,43051
M1STzb7k9L8,Extreme Helmet Game,2025-04-25T16:15:00Z,PT23S,203546882,2215440,5055
7K-yxGWYsnk,"$10,000 Human Shuffleboard",2025-04-22T16:30:14Z,PT40S,477705359,5856237,4706
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,PT20S,464602662,6273252,10227
figrl0aOULs,Click This Video To Feed 1 Person,2025-04-12T16:00:01Z,PT10M29S,72735015,4220518,73632
Uxc84UUrVHk,You Can Stop Child Labor,2025-04-11T16:00:01Z,PT58S,88179097,3540020,20625
BzKaMelDzqo,How Fast Can I Go?,2025-04-05T16:00:12Z,PT18S,169980259,2741416,8406
4yx9ZJDfyKk,Baseball Tic Tac Toe vs MLB Pro,2025-03-27T16:00:00Z,PT27S,65025258,1530632,7479
kPa_S6jN9ls,Could You Win This Obstacle Course?,2025-03-25T16:15:01Z,PT34S,89853258,1703487,10141
69g-YcbmgQA,"Find Your Dog, Win $10,000",2025-03-23T16:00:01Z,PT36S,443882794,11084463,9768
aKq8bkY5eTU,I Survived The 5 Deadliest Places On Earth,2025-03-22T16:00:00Z,PT13M23S,156208870,3140792,54477
TNtpUQbW4mg,This Is How The Pyramids Were Built,2025-03-18T16:00:00Z,PT13S,303124755,7894277,18884
TgCm8oDmxOk,I Crashed One Of The Most Expensive Cars In The World,2025-03-14T16:00:00Z,PT16S,97380330,2400034,6756
954wJ3uHVAk,Last One To Fall Wins,2025-03-08T18:05:23Z,PT30S,131674797,3876038,8117
