video_id,title,publishedAt,duration,viewCount,likeCount,commentCount
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04T16:00:07Z,PT3M14S,23423960,2308162,81577
686PL7rt654,World’s Fastest Dinner Date,2025-10-03T16:00:03Z,PT34S,111819406,2077418,5858
zo7i8VTpfNM,"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,PT25M26S,71585407,1840496,26404
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,PT42S,58900917,1846507,6203
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,PT40S,187729201,4292568,14734
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,PT47S,94285411,2397468,7451
50G0kIty7Cg,"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,PT39S,147797060,3986554,10509
4l97aNza_Zc,"Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13T16:00:01Z,PT37M4S,132147628,3150939,50025
3ih2bPKSWsQ,I Arrested IShowSpeed,2025-09-12T17:00:01Z,PT35S,52465544,1768560,5211
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01T20:45:41Z,PT47S,316121536,6581204,8091
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30T16:00:11Z,PT17M18S,110797346,2540981,34140
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,PT18S,542948256,22301747,27347
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,PT36S,90417782,2107481,6862
rB9NynBZ4go,Reaction Time Challenge,2025-08-19T16:00:02Z,PT29S,100728238,1686104,10972
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,PT39M36S,115700480,2826645,39626
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,PT15S,74366831,1920994,11965
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,PT17S,60080577,2184253,10139
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,PT32S,61417647,1111184,5370
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02T16:00:02Z,PT32S,114061924,3554270,14675
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,PT10M20S,74557850,2295103,43357
zxuICI0kL3s,"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,PT31S,292712523,5717121,7559
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29T16:00:01Z,PT19S,83127801,2576398,10005
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25T16:00:02Z,PT1M7S,171897212,4753817,13393
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,PT24S,122613740,1996413,6176
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19T16:00:01Z,PT33M3S,132002836,3376831,45876
R7oW0LwS_e4,I Met Neymar,2025-07-11T16:15:07Z,PT10S,93801136,1620933,14707
BfKI_TQnQvo,I Raced A Cheetah,2025-07-06T16:00:01Z,PT20S,121192289,2894429,12897
FWAdfuPpLOc,World's Fastest Car Vs Cheetah!,2025-07-05T16:00:01Z,PT20M37S,172702377,3271039,44775
NjlP2_l1Wr0,"You Lose, You Get Shot",2025-06-30T16:00:08Z,PT36S,94147470,1585763,6369
gGcaGdHlt60,"If You Spill, You Lose!",2025-06-25T17:00:08Z,PT19S,368934522,3448660,7167
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",2025-06-21T16:00:01Z,PT36M50S,201428235,6357319,103912
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,PT23S,85311574,2177017,12038
ZGvn9ywXjpY,Feastables vs Reese’s Taste Test with @gordonramsay,2025-06-10T16:00:02Z,PT33S,273375035,5349364,12681
hTSaweR8qMI,"$1 vs $500,000 Date",2025-06-07T16:00:00Z,PT17M22S,141901297,3322345,59572
KCRLP-zBacU,Can I Teach a Penguin To Subscribe?,2025-05-31T16:10:27Z,PT9S,240622991,6196981,17093
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,PT32S,173081135,3275304,6827
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24T16:00:01Z,PT27M53S,153659545,3507400,80704
7qY-qalCI2Y,"Grab The Rolex, Keep It!",2025-05-21T15:59:50Z,PT23S,187759648,2880311,8803
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16T16:00:01Z,PT36S,695540846,7713464,22951
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,2025-05-10T16:00:01Z,PT15M46S,117352174,2896374,77567
0yPgljFcTR4,"Subscribe to Win $50,000",2025-05-07T16:00:01Z,PT15S,71215649,4008183,143477
TN1wErFGTzM,"Find This Key, Win $10,000",2025-05-05T16:00:00Z,PT39S,48695908,1507927,6433
3dxksf0CzS8,World’s Fastest Robbers,2025-05-02T16:00:00Z,PT32S,229456828,5131199,12446
x7yv72s8h0o,Would You Go On Vacation With A Stranger?,2025-04-29T16:00:00Z,PT1M3S,241310320,7600205,22126
uyiG6uw-6pA,"Would You Risk Drowning for $500,000?",2025-04-26T16:00:00Z,PT25M46S,188319222,3140888,43056
M1STzb7k9L8,Extreme Helmet Game,2025-04-25T16:15:00Z,PT23S,203442201,2214681,5056
7K-yxGWYsnk,"$10,000 Human Shuffleboard",2025-04-22T16:30:14Z,PT40S,477308242,5852745,4705
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,PT20S,464417688,6271816,10237
figrl0aOULs,Click This Video To Feed 1 Person,2025-04-12T16:00:01Z,PT10M29S,72709839,4220022,73616
Uxc84UUrVHk,You Can Stop Child Labor,2025-04-11T16:00:01Z,PT58S,88137260,3538863,20621
BzKaMelDzqo,How Fast Can I Go?,2025-04-05T16:00:12Z,PT18S,169853218,2739747,8401
4yx9ZJDfyKk,Baseball Tic Tac Toe vs MLB Pro,2025-03-27T16:00:00Z,PT27S,64985002,1530045,7482
kPa_S6jN9ls,Could You Win This Obstacle Course?,2025-03-25T16:15:01Z,PT34S,89798703,1702653,10141
69g-YcbmgQA,"Find Your Dog, Win $10,000",2025-03-23T16:00:01Z,PT36S,443080698,11072405,9755
aKq8bkY5eTU,I Survived The 5 Deadliest Places On Earth,2025-03-22T16:00:00Z,PT13M23S,156096916,3139923,54479
TNtpUQbW4mg,This Is How The Pyramids Were Built,2025-03-18T16:00:00Z,PT13S,302775305,7888724,18866
TgCm8oDmxOk,I Crashed One Of The Most Expensive Cars In The World,2025-03-14T16:00:00Z,PT16S,97154264,2396291,6742
954wJ3uHVAk,Last One To Fall Wins,2025-03-08T18:05:23Z,PT30S,131637881,3875572,8126
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2025-03-01T17:00:01Z,PT38M38S,190061546,3051951,83460
PXevNM0awlI,"Highest Away From Me Wins $10,000",2025-02-28T17:00:00Z,PT50S,492268575,10934991,11143
PuQ5UxKUY48,"Find The Human, Win $10,000",2025-02-24T17:00:02Z,PT41S,305047171,7074043,8164
L5ihmu87xTE,"Find This Stranger, Win $10,000",2025-02-19T18:00:00Z,PT1M1S,584837252,15663200,11680
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,PT25S,468096369,7477830,8982
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,PT21M43S,218457848,5325918,100832
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25T17:00:01Z,PT34M46S,141344237,3009418,73879
MFpWEKN9c6Y,"Last Person Hanging Wins $10,000",2025-01-21T17:00:03Z,PT43S,519055432,12465751,14073
TRxMLLuWIhw,Subscribe For An iPhone,2025-01-17T17:00:00Z,PT17S,282483554,28153883,198634
SM66GDRyIVY,"I Helped 2,000 People Walk Again",2025-01-11T17:00:02Z,PT15M31S,122117757,2948010,54729
EvqtfK_RaRg,This obstacle course is WILD,2025-01-10T17:00:00Z,PT32S,202615255,3835466,5334
3cWm9B_0_kI,How Many People To Stop Ronaldo?,2024-12-27T19:00:00Z,PT21S,494379364,11546989,26226
qtWqHIx8Z-o,"Last Person Standing Wins $10,000",2024-12-22T17:00:01Z,PT48S,609727199,12929672,9539
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19T17:00:00Z,PT24M45S,183670557,4566606,50392
DBPYB8WkkDc,Bring Me Back Snow From The North Pole,2024-12-10T17:00:00Z,PT55S,626904067,17724408,14112
zvBXpoBegwE,I Got T-Series To Subscribe To Me,2024-12-09T17:00:01Z,PT31S,180404066,7903751,14167
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,PT15S,321406054,9091891,33922
0BjlBnfHcHM,"Beat Ronaldo, Win $1,000,000",2024-11-30T17:00:00Z,PT22M45S,326248238,8080740,117680
HcL1EQ5qD_g,Confronting Ronaldo,2024-11-29T17:30:10Z,PT21S,220364693,12194846,26457
dc089EZRGcg,How Many Balloons To Make A Store Fly?,2024-11-18T19:00:00Z,PT22S,456882821,10412422,11704
vXNtju4VFm4,Restocking MrBeast Labs at Walmart,2024-11-18T17:00:00Z,PT36S,330051662,5632838,3235
I9mw5UlDyPI,This Game Is Wild...,2024-11-12T17:00:00Z,PT19S,652920008,13249273,8570
pS-fFdvyHLE,How Much Tape To Stop A Lamborghini?,2024-11-08T17:00:00Z,PT15S,727953921,13836541,19767
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",2024-11-02T16:00:00Z,PT17M40S,264777368,5098187,56348
9UtcHPCEBgg,1 Subscriber = 1 Penny,2024-10-19T18:00:00Z,PT17S,373631081,16933140,26281
ZNt_GoOBHq8,Human vs Jet Engine,2024-10-17T19:00:00Z,PT19S,518765311,13275573,17632
bn0Kh9c4Zv4,7 Days Exploring An Underground City,2024-10-12T16:00:00Z,PT20M35S,163466125,3661705,32985
dDVFnfCwjHA,Will A Basketball Boat Hold My Weight?,2024-10-11T16:00:01Z,PT30S,369630074,9950710,6902
Kt2HvqRruHQ,"Find The Real MrBeast, Win $10,000",2024-10-05T16:00:00Z,PT37S,326968854,10117397,7817
vDrSCXFMAKk,"Spot The Difference, Win $10,000",2024-09-28T20:00:00Z,PT58S,260370190,8226035,6311
